source,target,weight
TP63,BRCA1,2
TP63,DDB2,2
TP63,KLF4,1
TP63,PPARA,2
TP63,TCF4,0
TP63,VDR,0
TP63,VDR,2
TRIB3,SMAD3,2
TRIM16,E2F1,1
TRIM22,NFKB1,2
TRIM22,RELA,2
TRIM28,E2F4,1
TRPS1,RUNX2,1
TRRAP,MITF,1
TSC22D3,FOXO1,1
TSC22D3,FOXO3,1
UHRF1,PPARG,1
UHRF1,RB1,0
URI1,AR,1
VHL,AR,0
VHL,HIF1A,1
VHL,HIF1A,2
VHL,KLF10,2
VHL,TCF4,2
VHL,TP53,2
WDR5,MYC,2
WHSC1,AR,2
WWTR1,SMAD3,0
YEATS4,TP53,1
ZBTB2,TP53,1
ZFHX3,MYB,1
ZFP36,HIF1A,0
ZFP36,HIF1A,1
ZIC1,JUND,0
ZIC2,TCF4,1
ZNF224,VDR,0
ZNF24,CTNNB1,0
ZNF300,MYC,0
ZNF382,JUN,1
ZNF382,MITF,1
ZNF382,MYC,1
ZNF382,NFKB1,1
ZNF382,STAT3,1
ZNF382,STAT5B,1
ZNF383,JUN,1
ZNF423,BRCA1,2
